Datetime,Imports/(Exports) (MW),Net Demand VIC (MW)
2051-01-01 00:00:00,0.0,5.68144704542134
2051-01-01 00:30:00,0.0,5.495126541223652
2051-01-01 01:00:00,0.0,5.296171405459403
2051-01-01 01:30:00,0.0,5.280364011468424
2051-01-01 02:00:00,0.0,5.235615246126678
2051-01-01 02:30:00,0.0,5.295988374675249
2051-01-01 03:00:00,0.0,5.428209126454622
2051-01-01 03:30:00,0.0,5.472525741069136
2051-01-01 04:00:00,0.0,5.514532589525377
2051-01-01 04:30:00,0.0,5.673073903690461
2051-01-01 05:00:00,0.0,5.571702040257388
2051-01-01 05:30:00,0.0,5.285087975041693
2051-01-01 06:00:00,0.0,4.477580352856377
2051-01-01 06:30:00,0.0,3.369014852072572
2051-01-01 07:00:00,0.0,0.478115733444295
2051-01-01 07:30:00,0.0,1.8762682110784876
2051-01-01 08:00:00,0.0,1.9616213528046655
2051-01-01 08:30:00,0.0,1.3095248568660205
2051-01-01 09:00:00,-0.6,-0.8931694279935068
2051-01-01 09:30:00,-0.6,-2.1378164547100424
2051-01-01 10:00:00,-0.6,-1.6394712698008707
2051-01-01 10:30:00,-0.6,-2.5660150013874956
2051-01-01 11:00:00,-0.6,-2.6614568519122166
2051-01-01 11:30:00,0.55,-3.4586862189940684
2051-01-01 12:00:00,0.55,-4.118106848854337
2051-01-01 12:30:00,-0.6,-3.6368716056041777
2051-01-01 13:00:00,0.55,-3.927042625408456
2051-01-01 13:30:00,0.55,-4.545467676122373
2051-01-01 14:00:00,0.55,-4.615866831185335
2051-01-01 14:30:00,0.55,-4.391179088949318
2051-01-01 15:00:00,0.55,-5.364182568430097
2051-01-01 15:30:00,0.55,-6.495517533799781
2051-01-01 16:00:00,0.55,-7.259889460415767
2051-01-01 16:30:00,0.55,-9.033088989859055
2051-01-01 17:00:00,0.55,-7.522462901885312
2051-01-01 17:30:00,-0.6,-6.899568358797709
2051-01-01 18:00:00,-0.6,-3.5359886743733004
2051-01-01 18:30:00,-0.6,-1.2218210051536171
2051-01-01 19:00:00,-0.317371765747,-0.3173717657470279
2051-01-01 19:30:00,-0.037590802048,-0.25759080204772544
2051-01-01 20:00:00,-0.269778209679,-0.48977820967923247
2051-01-01 20:30:00,-0.6,-1.7263381093041934
2051-01-01 21:00:00,-0.6,-2.3512368917825426
2051-01-01 21:30:00,-0.6,-2.93620956296674
2051-01-01 22:00:00,-0.6,-3.17046093410379
2051-01-01 22:30:00,-0.6,-3.1112653222129065
2051-01-01 23:00:00,-0.6,-2.7799841976471016
2051-01-01 23:30:00,-0.6,-2.674293529569941
2051-01-02 00:00:00,-0.6,-3.0306051995452763
2051-01-02 00:30:00,-0.6,-3.1497901966818773
2051-01-02 01:00:00,-0.6,-3.1900811193553946
2051-01-02 01:30:00,-0.6,-3.7223124953760562
2051-01-02 02:00:00,-0.6,-3.954173870838209
2051-01-02 02:30:00,-0.6,-3.97788405879152
2051-01-02 03:00:00,-0.6,-4.166143158546415
2051-01-02 03:30:00,-0.6,-4.336811283765779
2051-01-02 04:00:00,-0.6,-4.0621929982157
2051-01-02 04:30:00,-0.6,-3.936385644138706
2051-01-02 05:00:00,-0.6,-3.520950497782738
2051-01-02 05:30:00,-0.6,-3.826672144017524
2051-01-02 06:00:00,-0.6,-5.99506894589416
2051-01-02 06:30:00,-0.6,-7.911955203403208
2051-01-02 07:00:00,-0.6,-11.47758155196554
2051-01-02 07:30:00,-0.6,-11.88039532600497
2051-01-02 08:00:00,-0.6,-11.542131717247564
2051-01-02 08:30:00,-0.6,-11.65466296207643
2051-01-02 09:00:00,-0.6,-10.984779618885591
2051-01-02 09:30:00,0.55,-10.792296030061795
2051-01-02 10:00:00,0.55,-11.509603738437795
2051-01-02 10:30:00,0.55,-10.683650056809315
2051-01-02 11:00:00,0.55,-11.721901978272205
2051-01-02 11:30:00,0.55,-12.45282592276152
2051-01-02 12:00:00,0.55,-12.050345928561164
2051-01-02 12:30:00,0.55,-12.477348304150516
2051-01-02 13:00:00,0.55,-13.19919505595497
2051-01-02 13:30:00,0.55,-13.282711073359021
2051-01-02 14:00:00,0.55,-12.105479535012687
2051-01-02 14:30:00,0.55,-12.602595893851179
2051-01-02 15:00:00,0.55,-12.19938511772628
2051-01-02 15:30:00,0.55,-12.190692707508612
2051-01-02 16:00:00,0.55,-11.688643730483497
2051-01-02 16:30:00,0.55,-10.581567293568249
2051-01-02 17:00:00,0.55,-9.562571502496729
2051-01-02 17:30:00,-0.6,-7.506940532625359
2051-01-02 18:00:00,-0.6,-2.886171790194382
2051-01-02 18:30:00,-0.433024469316,-0.4330244693157647
2051-01-02 19:00:00,0.0,0.46414351614483346
2051-01-02 19:30:00,0.0,1.3736873180853544
2051-01-02 20:00:00,0.0,1.623625760510072
2051-01-02 20:30:00,0.0,1.9239147758965929
2051-01-02 21:00:00,0.0,1.7529615881308056
2051-01-02 21:30:00,0.0,1.8389296239227648
2051-01-02 22:00:00,0.0,1.9713890273264287
2051-01-02 22:30:00,0.0,2.4194351857752623
2051-01-02 23:00:00,0.0,2.758877813596336
2051-01-02 23:30:00,0.0,3.408103154782238
2051-01-03 00:00:00,0.0,3.322183770788544
2051-01-03 00:30:00,0.0,3.2498153918483945
2051-01-03 01:00:00,0.0,2.98840820564804
2051-01-03 01:30:00,0.0,2.86903726724378
2051-01-03 02:00:00,0.0,2.8158196730209197
2051-01-03 02:30:00,0.0,2.9498775415453147
2051-01-03 03:00:00,0.0,2.677385102195736
2051-01-03 03:30:00,0.0,2.8103162894216607
2051-01-03 04:00:00,0.0,2.7176966750180425
2051-01-03 04:30:00,0.0,3.0260485272974087
2051-01-03 05:00:00,0.0,3.157213071720382
2051-01-03 05:30:00,0.0,2.6779170193090613
2051-01-03 06:00:00,0.0,1.9967576888838057
2051-01-03 06:30:00,0.0,0.9170453213292176
2051-01-03 07:00:00,-0.6,-3.234755574795682
2051-01-03 07:30:00,-0.6,-3.465478884084333
2051-01-03 08:00:00,-0.6,-4.25985146996727
2051-01-03 08:30:00,-0.6,-5.161739957949464
2051-01-03 09:00:00,-0.6,-6.438883990518915
2051-01-03 09:30:00,-0.6,-8.178545741118207
2051-01-03 10:00:00,-0.6,-10.500245552933425
2051-01-03 10:30:00,-0.6,-11.217863818926476
2051-01-03 11:00:00,-0.6,-11.407404379355102
2051-01-03 11:30:00,-0.6,-11.408334300754845
2051-01-03 12:00:00,-0.6,-11.52580425913961
2051-01-03 12:30:00,-0.6,-11.430643970686823
2051-01-03 13:00:00,-0.6,-11.645151887999765
2051-01-03 13:30:00,-0.6,-11.861743502780548
2051-01-03 14:00:00,-0.6,-11.94493015913736
2051-01-03 14:30:00,-0.6,-12.04498577629945
2051-01-03 15:00:00,-0.6,-12.15964947597684
2051-01-03 15:30:00,-0.6,-12.159864823392633
2051-01-03 16:00:00,-0.6,-11.1714849001111
2051-01-03 16:30:00,-0.6,-9.976457234608262
2051-01-03 17:00:00,-0.6,-6.771746236132844
2051-01-03 17:30:00,-0.6,-4.197287579624293
2051-01-03 18:00:00,0.0,0.1534376942414774
2051-01-03 18:30:00,0.0,0.3153858610345588
2051-01-03 19:00:00,0.0,1.8366032067624876
2051-01-03 19:30:00,0.0,1.9779829765624957
2051-01-03 20:00:00,0.0,1.3126549393896605
2051-01-03 20:30:00,0.0,0.04320723611694029
2051-01-03 21:00:00,0.0,1.5525655831795722
2051-01-03 21:30:00,0.0,0.46654064491475583
2051-01-03 22:00:00,0.0,0.030615411597884303
2051-01-03 22:30:00,0.0,0.23029678048977986
2051-01-03 23:00:00,0.0,0.7070507477224801
2051-01-03 23:30:00,0.0,1.2481015346761832
2051-01-04 00:00:00,0.0,1.0936517637667704
2051-01-04 00:30:00,0.0,1.044162493049419
2051-01-04 01:00:00,0.0,0.9484793314894624
2051-01-04 01:30:00,0.0,1.4194606374286913
2051-01-04 02:00:00,0.0,0.4449320644743211
2051-01-04 02:30:00,0.0,0.234075940535834
2051-01-04 03:00:00,-0.11409332714700005,-0.3340933271471285
2051-01-04 03:30:00,-0.225253854803,-0.22525385480345814
2051-01-04 04:00:00,-0.142192023282,-0.3621920232816328
2051-01-04 04:30:00,0.0,-0.08104198788244503
2051-01-04 05:00:00,-0.256384537975,-0.25638453797515287
2051-01-04 05:30:00,0.0,-0.10511865596597272
2051-01-04 06:00:00,-0.6,-1.7311439601048295
2051-01-04 06:30:00,-0.6,-2.6259245327164216
2051-01-04 07:00:00,-0.6,-6.404240038754584
2051-01-04 07:30:00,-0.6,-9.183046648364678
2051-01-04 08:00:00,-0.6,-10.790837879933461
2051-01-04 08:30:00,-0.6,-12.001715745261132
2051-01-04 09:00:00,-0.6,-13.317724160896534
2051-01-04 09:30:00,-0.6,-13.37004867760832
2051-01-04 10:00:00,-0.6,-14.025441322035451
2051-01-04 10:30:00,-0.6,-13.729619234449665
2051-01-04 11:00:00,-0.6,-13.390542588098285
2051-01-04 11:30:00,-0.6,-12.958495283783243
2051-01-04 12:00:00,-0.6,-13.776372510929505
2051-01-04 12:30:00,-0.6,-14.06001228586973
2051-01-04 13:00:00,-0.6,-14.12255821823538
2051-01-04 13:30:00,-0.6,-14.194812684013872
2051-01-04 14:00:00,-0.6,-14.223845201407268
2051-01-04 14:30:00,-0.6,-14.958002450173352
2051-01-04 15:00:00,-0.6,-12.918376591557484
2051-01-04 15:30:00,-0.6,-11.110188626669846
2051-01-04 16:00:00,-0.6,-10.826244073334061
2051-01-04 16:30:00,-0.6,-9.009465441712637
2051-01-04 17:00:00,-0.6,-7.275080037165888
2051-01-04 17:30:00,-0.6,-4.744928502342796
2051-01-04 18:00:00,-0.6,-1.11558711767778
2051-01-04 18:30:00,0.0,0.4560667663923669
2051-01-04 19:00:00,0.0,1.1443805093966204
2051-01-04 19:30:00,0.0,0.9180250473622508
2051-01-04 20:00:00,0.0,0.7856655159572637
2051-01-04 20:30:00,0.0,0.3634151367067789
2051-01-04 21:00:00,0.0,0.056405596951650296
2051-01-04 21:30:00,0.0,-0.20781138190643836
2051-01-04 22:00:00,-0.237049630915,-0.2370496309148166
2051-01-04 22:30:00,-0.311870603923,-0.311870603922609
2051-01-04 23:00:00,0.0,0.10546161839360867
2051-01-04 23:30:00,0.0,0.10095245795522896
2051-01-05 00:00:00,-0.0111784608374,-0.011178460837427337
2051-01-05 00:30:00,0.0,-0.17467512225535028
2051-01-05 01:00:00,-0.197619960134,-0.19761996013444696
2051-01-05 01:30:00,-0.421909518106,-0.4219095181061748
2051-01-05 02:00:00,-0.06137571800700001,-0.28137571800738626
2051-01-05 02:30:00,-0.06400408861200002,-0.28400408861159304
2051-01-05 03:00:00,0.0,0.20015812427781293
2051-01-05 03:30:00,0.0,0.3006414464834024
2051-01-05 04:00:00,0.0,0.6489778692374412
2051-01-05 04:30:00,0.0,1.188760390445581
2051-01-05 05:00:00,0.0,2.003407767904997
2051-01-05 05:30:00,0.0,0.06435871765424964
2051-01-05 06:00:00,0.0,1.8868026894866279
2051-01-05 06:30:00,0.0,0.7542471737970918
2051-01-05 07:00:00,-0.6,-2.015465331380007
2051-01-05 07:30:00,-0.6,-2.1673290286822033
2051-01-05 08:00:00,-0.6,-2.0106769431562386
2051-01-05 08:30:00,-0.6,-3.0864547029304132
2051-01-05 09:00:00,-0.6,-4.59950103157129
2051-01-05 09:30:00,-0.6,-4.818303474820609
2051-01-05 10:00:00,-0.6,-5.485947643744398
2051-01-05 10:30:00,-0.6,-6.823416817002908
2051-01-05 11:00:00,-0.6,-5.7892763635939835
2051-01-05 11:30:00,-0.6,-5.179107181145749
2051-01-05 12:00:00,-0.6,-5.757888604941398
2051-01-05 12:30:00,-0.6,-5.697067576907328
2051-01-05 13:00:00,-0.6,-5.576787127819013
2051-01-05 13:30:00,-0.6,-7.136204638525443
2051-01-05 14:00:00,-0.6,-8.100335479385745
2051-01-05 14:30:00,-0.6,-8.018255995837736
2051-01-05 15:00:00,-0.6,-8.276430948353841
2051-01-05 15:30:00,-0.6,-8.49459780197828
2051-01-05 16:00:00,-0.6,-7.229709336918529
2051-01-05 16:30:00,-0.6,-6.004838920392991
2051-01-05 17:00:00,-0.6,-4.799415419888062
2051-01-05 17:30:00,-0.6,-3.043497569095909
2051-01-05 18:00:00,0.0,0.5342321365012295
2051-01-05 18:30:00,0.0,1.3066895612390907
2051-01-05 19:00:00,0.0,0.6993462910005055
2051-01-05 19:30:00,0.0,0.36376837017036084
2051-01-05 20:00:00,0.0,1.929807120417836
2051-01-05 20:30:00,0.0,1.3628146186246197
2051-01-05 21:00:00,0.0,1.091677647986351
2051-01-05 21:30:00,0.0,0.5261005114242434
2051-01-05 22:00:00,0.0,0.1407850559606395
2051-01-05 22:30:00,0.0,0.2169333195970321
2051-01-05 23:00:00,0.0,0.45371586504540573
2051-01-05 23:30:00,0.0,0.2469424513836966
2051-01-06 00:00:00,0.0,-0.14781800309574283
2051-01-06 00:30:00,-0.19152957762099998,-0.19152957762111328
2051-01-06 01:00:00,-0.031040816369999974,-0.2510408163696975
2051-01-06 01:30:00,-0.159610420127,-0.15961042012682083
2051-01-06 02:00:00,-0.515733823324,-0.7357338233240626
2051-01-06 02:30:00,-0.476123923659,-0.6961239236590918
2051-01-06 03:00:00,-0.6,-1.1334073130719653
2051-01-06 03:30:00,-0.6,-1.233671586123437
2051-01-06 04:00:00,-0.6,-1.214389896991098
2051-01-06 04:30:00,-0.6,-1.1914928962214508
2051-01-06 05:00:00,-0.6,-1.0037925035430761
2051-01-06 05:30:00,-0.6,-1.4227744141223875
2051-01-06 06:00:00,-0.6,-2.6194393846318382
2051-01-06 06:30:00,-0.6,-4.55331301677902
2051-01-06 07:00:00,-0.6,-9.19804729403276
2051-01-06 07:30:00,-0.6,-10.781125794050272
2051-01-06 08:00:00,-0.6,-12.048533167607024
2051-01-06 08:30:00,-0.6,-12.333902816455591
2051-01-06 09:00:00,-0.6,-12.134482035608004
2051-01-06 09:30:00,-0.6,-12.1081130367888
2051-01-06 10:00:00,-0.6,-12.323508636030414
2051-01-06 10:30:00,-0.6,-12.294274268230238
2051-01-06 11:00:00,-0.6,-12.352661023223838
2051-01-06 11:30:00,-0.6,-12.291218014076035
2051-01-06 12:00:00,-0.6,-12.304164806267636
2051-01-06 12:30:00,-0.6,-11.995707092171969
2051-01-06 13:00:00,-0.6,-11.686937832311887
2051-01-06 13:30:00,-0.6,-11.822872418783422
2051-01-06 14:00:00,-0.6,-12.03572713004053
2051-01-06 14:30:00,-0.6,-11.081321796534805
2051-01-06 15:00:00,-0.6,-10.741842453142246
2051-01-06 15:30:00,-0.6,-9.87058866655148
2051-01-06 16:00:00,-0.6,-8.41479977419585
2051-01-06 16:30:00,-0.6,-7.789905369642641
2051-01-06 17:00:00,-0.6,-5.865882172249349
2051-01-06 17:30:00,-0.6,-3.780990404315629
2051-01-06 18:00:00,-0.21272669174,-0.21272669173980463
2051-01-06 18:30:00,0.0,1.2926683613010264
2051-01-06 19:00:00,0.0,1.664144108424025
2051-01-06 19:30:00,0.0,1.6606274012862758
2051-01-06 20:00:00,0.0,1.4662516585832126
2051-01-06 20:30:00,0.0,0.802844089965256
2051-01-06 21:00:00,0.0,2.0959721112093885
2051-01-06 21:30:00,0.0,2.1561756216172414
2051-01-06 22:00:00,0.0,1.2514396106498225
2051-01-06 22:30:00,0.0,1.0870091695462087
2051-01-06 23:00:00,0.0,1.4834110111500267
2051-01-06 23:30:00,0.0,0.9978010541630628
2051-01-07 00:00:00,0.0,1.3732196036565056
2051-01-07 00:30:00,0.0,0.919767044992228
2051-01-07 01:00:00,0.0,1.4882663455355314
2051-01-07 01:30:00,0.0,1.270196456956278
2051-01-07 02:00:00,0.0,1.3992685555502813
2051-01-07 02:30:00,0.0,1.8691604644687267
2051-01-07 03:00:00,0.0,1.6067299558634904
2051-01-07 03:30:00,0.0,1.8090689504493656
2051-01-07 04:00:00,0.0,1.7476997869476163
2051-01-07 04:30:00,0.0,1.886380380382815
2051-01-07 05:00:00,0.0,1.812208353443415
2051-01-07 05:30:00,0.0,1.2175798014274095
2051-01-07 06:00:00,-0.6,-0.8292684064768664
2051-01-07 06:30:00,-0.6,-3.241219372243338
2051-01-07 07:00:00,-0.6,-7.822584584874737
2051-01-07 07:30:00,-0.6,-8.775093573151414
2051-01-07 08:00:00,-0.6,-8.73711927856744
2051-01-07 08:30:00,-0.6,-8.69428195907125
2051-01-07 09:00:00,-0.6,-8.191616636808256
2051-01-07 09:30:00,-0.6,-7.778951606768699
2051-01-07 10:00:00,-0.6,-7.6979782286349785
2051-01-07 10:30:00,-0.6,-7.578939915127782
2051-01-07 11:00:00,-0.6,-7.383283993910856
2051-01-07 11:30:00,-0.6,-7.085444961975482
2051-01-07 12:00:00,-0.6,-6.930902908571599
2051-01-07 12:30:00,-0.6,-6.549647950736665
2051-01-07 13:00:00,-0.6,-6.307719672705192
2051-01-07 13:30:00,-0.6,-5.578845656725464
2051-01-07 14:00:00,-0.6,-5.25234146804207
2051-01-07 14:30:00,-0.6,-5.788692219843753
2051-01-07 15:00:00,-0.6,-5.52065789873622
2051-01-07 15:30:00,-0.6,-3.1494862992389727
2051-01-07 16:00:00,-0.6,-2.5918378900026218
2051-01-07 16:30:00,-0.6,-1.7431404436637412
2051-01-07 17:00:00,0.0,-0.4819902128598924
2051-01-07 17:30:00,0.0,0.05641105556790171
2051-01-07 18:00:00,0.0,1.106263008940011
2051-01-07 18:30:00,0.0,3.0312361471582925
2051-01-07 19:00:00,0.0,3.748887008843048
2051-01-07 19:30:00,0.0,3.5087692720392143
2051-01-07 20:00:00,0.0,2.5851502506445323
2051-01-07 20:30:00,0.0,1.90117275141132
2051-01-07 21:00:00,0.0,1.4702797372568512
2051-01-07 21:30:00,0.0,1.0837744619891283
2051-01-07 22:00:00,0.0,0.698188832453512
2051-01-07 22:30:00,0.0,0.2545056621425956
2051-01-07 23:00:00,0.0,0.3689953140872731
2051-01-07 23:30:00,0.0,0.4755313599117681
2051-01-08 00:00:00,0.0,1.980016320884999
2051-01-08 00:30:00,0.0,1.627295238959392
2051-01-08 01:00:00,0.0,0.461123895677898
2051-01-08 01:30:00,-0.6,-0.9827197619369145
2051-01-08 02:00:00,-0.6,-1.8268674340338258
2051-01-08 02:30:00,-0.6,-2.491264418500357
2051-01-08 03:00:00,-0.6,-3.375810624878601
2051-01-08 03:30:00,-0.6,-3.3020911043806955
2051-01-08 04:00:00,-0.6,-2.577939537951061
2051-01-08 04:30:00,-0.6,-1.6191495100645352
2051-01-08 05:00:00,-0.6,-1.5518973570709786
2051-01-08 05:30:00,-0.6,-1.3267219179660041
2051-01-08 06:00:00,-0.6,-1.763150390556104
2051-01-08 06:30:00,-0.6,-1.7667455126624683
2051-01-08 07:00:00,-0.6,-2.46197999862657
2051-01-08 07:30:00,-0.6,-4.17299515777884
2051-01-08 08:00:00,-0.6,-6.103069020419073
2051-01-08 08:30:00,-0.6,-7.2068820607943564
2051-01-08 09:00:00,-0.6,-7.072876013126177
2051-01-08 09:30:00,-0.6,-8.78171905852413
2051-01-08 10:00:00,-0.6,-8.833368494033657
2051-01-08 10:30:00,-0.6,-8.223468584193284
2051-01-08 11:00:00,-0.6,-8.865606341506078
2051-01-08 11:30:00,-0.6,-9.230631732518392
2051-01-08 12:00:00,-0.6,-9.919479845699128
2051-01-08 12:30:00,-0.6,-9.508274357245405
2051-01-08 13:00:00,-0.6,-10.20390998435783
2051-01-08 13:30:00,-0.6,-10.386836024531215
2051-01-08 14:00:00,-0.6,-9.751198761714457
2051-01-08 14:30:00,-0.6,-10.518552725862158
2051-01-08 15:00:00,-0.6,-10.521507068330116
2051-01-08 15:30:00,-0.6,-9.521823401359345
2051-01-08 16:00:00,-0.6,-9.4508254274361
2051-01-08 16:30:00,-0.6,-9.216971597006042
2051-01-08 17:00:00,-0.6,-7.3696721686586795
2051-01-08 17:30:00,-0.6,-5.55325117893166
2051-01-08 18:00:00,-0.6,-1.7273099384084043
2051-01-08 18:30:00,0.0,0.1945891588140148
2051-01-08 19:00:00,0.0,0.7135971395058023
2051-01-08 19:30:00,0.0,0.5252188461472015
2051-01-08 20:00:00,0.0,0.7709818876562294
2051-01-08 20:30:00,0.0,1.5425035203452317
2051-01-08 21:00:00,0.0,1.632629308808966
2051-01-08 21:30:00,0.0,1.920186902859636
2051-01-08 22:00:00,0.0,0.3604754887121235
2051-01-08 22:30:00,0.0,1.5882314927417893
2051-01-08 23:00:00,0.0,1.9142588561473597
2051-01-08 23:30:00,0.0,1.9220051714607571
2051-01-09 00:00:00,0.0,1.6396099446767367
2051-01-09 00:30:00,0.0,1.6421570295673191
2051-01-09 01:00:00,0.0,1.2865920406801015
2051-01-09 01:30:00,0.0,1.149068951877218
2051-01-09 02:00:00,0.0,1.3161987239576265
2051-01-09 02:30:00,0.0,1.776443199688766
2051-01-09 03:00:00,0.0,1.573109923221943
2051-01-09 03:30:00,0.0,1.933659363311044
2051-01-09 04:00:00,0.0,1.6940866368109373
2051-01-09 04:30:00,0.0,2.1936834683855233
2051-01-09 05:00:00,0.0,3.2233540785373744
2051-01-09 05:30:00,0.0,3.047542574318635
2051-01-09 06:00:00,0.0,3.1847296897836967
2051-01-09 06:30:00,0.0,3.5255851012965356
2051-01-09 07:00:00,0.0,2.586086787347222
2051-01-09 07:30:00,0.0,2.226804931630883
2051-01-09 08:00:00,0.0,1.825521542518201
2051-01-09 08:30:00,0.0,1.2718776017880336
2051-01-09 09:00:00,0.0,2.3415539356495945
2051-01-09 09:30:00,0.0,2.327813473964091
2051-01-09 10:00:00,0.0,2.1798954776758652
2051-01-09 10:30:00,0.0,2.954591776588741
2051-01-09 11:00:00,0.0,2.7856637224029375
2051-01-09 11:30:00,0.0,2.8604387651698557
2051-01-09 12:00:00,0.0,2.548824563053444
2051-01-09 12:30:00,0.0,2.560156910506834
2051-01-09 13:00:00,0.0,2.819714242694721
2051-01-09 13:30:00,0.0,3.1596449694569553
2051-01-09 14:00:00,0.0,2.885276269068413
2051-01-09 14:30:00,0.0,2.778088599569921
2051-01-09 15:00:00,0.0,2.5409854863352512
2051-01-09 15:30:00,0.0,2.5181358102171325
2051-01-09 16:00:00,0.0,2.839259504138843
2051-01-09 16:30:00,0.0,3.0219414528134614
2051-01-09 17:00:00,0.0,2.598375278277449
2051-01-09 17:30:00,0.0,3.4855930384176137
2051-01-09 18:00:00,0.0,4.524454872043176
2051-01-09 18:30:00,0.0,4.927744229482492
2051-01-09 19:00:00,0.0,5.1257188599056756
2051-01-09 19:30:00,0.0,4.705607803785626
2051-01-09 20:00:00,0.0,4.519476944417597
2051-01-09 20:30:00,0.0,4.4584560220822365
2051-01-09 21:00:00,0.0,4.7179226035663575
2051-01-09 21:30:00,0.0,4.655164707629138
2051-01-09 22:00:00,0.0,4.585783193459321
2051-01-09 22:30:00,0.0,4.929178407957261
2051-01-09 23:00:00,0.0,5.684173157203153
2051-01-09 23:30:00,0.0,5.347074419140834
2051-01-10 00:00:00,0.0,5.094919748415348
2051-01-10 00:30:00,0.0,4.758997776086115
2051-01-10 01:00:00,0.0,4.782143085257048
2051-01-10 01:30:00,0.0,4.243743256070075
2051-01-10 02:00:00,0.0,3.636212969195475
2051-01-10 02:30:00,0.0,3.271746612227191
2051-01-10 03:00:00,0.0,3.5106345049913563
2051-01-10 03:30:00,0.0,3.4188539772834603
2051-01-10 04:00:00,0.0,3.0674042791827323
2051-01-10 04:30:00,0.0,3.1545734865511
2051-01-10 05:00:00,0.0,3.84973191660994
2051-01-10 05:30:00,0.0,3.3051743484932468
2051-01-10 06:00:00,0.0,2.53218626438531
2051-01-10 06:30:00,0.0,1.219582393942456
2051-01-10 07:00:00,0.0,0.873604872141852
2051-01-10 07:30:00,-0.6,-2.270789920737845
2051-01-10 08:00:00,-0.6,-3.320752717782991
2051-01-10 08:30:00,-0.6,-5.094321665924196
2051-01-10 09:00:00,-0.6,-6.413728005365425
2051-01-10 09:30:00,-0.6,-7.257529366206934
2051-01-10 10:00:00,-0.6,-8.106803359134169
2051-01-10 10:30:00,-0.6,-8.190782183015589
2051-01-10 11:00:00,-0.6,-8.648425015639765
2051-01-10 11:30:00,-0.6,-9.008218364589347
2051-01-10 12:00:00,-0.6,-8.5609989364828
2051-01-10 12:30:00,-0.6,-8.788022633611067
2051-01-10 13:00:00,-0.6,-8.680705845612188
2051-01-10 13:30:00,-0.6,-8.870890166092572
2051-01-10 14:00:00,-0.6,-8.90687139509932
2051-01-10 14:30:00,-0.6,-9.058975904071723
2051-01-10 15:00:00,-0.6,-10.185315349190608
2051-01-10 15:30:00,-0.6,-9.41964866394541
2051-01-10 16:00:00,-0.6,-8.53849857812732
2051-01-10 16:30:00,-0.6,-7.095721810462514
2051-01-10 17:00:00,-0.6,-4.925723629724043
2051-01-10 17:30:00,-0.6,-1.9756740094240584
2051-01-10 18:00:00,0.0,0.6419993556360337
2051-01-10 18:30:00,0.0,3.146854180753377
2051-01-10 19:00:00,0.0,4.26991845955629
2051-01-10 19:30:00,0.0,4.218229667280148
2051-01-10 20:00:00,0.0,4.108699503993634
2051-01-10 20:30:00,0.0,3.820607892826818
2051-01-10 21:00:00,0.0,3.414109311176444
2051-01-10 21:30:00,0.0,2.8339060018292868
2051-01-10 22:00:00,0.0,1.9114496998209225
2051-01-10 22:30:00,0.0,1.6096639089078972
2051-01-10 23:00:00,0.0,0.6738648844259715
2051-01-10 23:30:00,0.0,1.6029455025015287
2051-01-11 00:00:00,0.0,1.5790007657399234
2051-01-11 00:30:00,0.0,0.6873469632616743
2051-01-11 01:00:00,-0.434756377898,-0.4347563778977092
2051-01-11 01:30:00,-0.6,-1.0077216866279213
2051-01-11 02:00:00,-0.6,-2.5084539752748096
2051-01-11 02:30:00,-0.6,-2.6278059934205613
2051-01-11 03:00:00,-0.6,-2.8595786898029045
2051-01-11 03:30:00,-0.6,-2.762662414995718
2051-01-11 04:00:00,-0.6,-2.702200756584758
