Datetime,Imports/(Exports) (MW),Net Demand VIC (MW)
2047-01-01 00:00:00,0.0,0.15550124493764997
2047-01-01 00:30:00,0.0,-0.39895553796810956
2047-01-01 01:00:00,-0.22,-0.3608007843580272
2047-01-01 01:30:00,-0.22,-0.8148668037120278
2047-01-01 02:00:00,-0.22,-1.2602819769135731
2047-01-01 02:30:00,-0.22,-1.5035714647907852
2047-01-01 03:00:00,-0.22,-1.7364252601181025
2047-01-01 03:30:00,-0.22,-1.7431128405666458
2047-01-01 04:00:00,-0.22,-2.0840691584624564
2047-01-01 04:30:00,-0.22,-1.8760452853753395
2047-01-01 05:00:00,-0.22,-2.119558861357429
2047-01-01 05:30:00,-0.22,-2.8308753093347883
2047-01-01 06:00:00,-0.22,-5.853528707104338
2047-01-01 06:30:00,-0.22,-7.671515494906689
2047-01-01 07:00:00,-0.22,-11.663746127153935
2047-01-01 07:30:00,-0.22,-13.44375721416758
2047-01-01 08:00:00,-0.22,-14.95096826133403
2047-01-01 08:30:00,0.15,-16.26243278547593
2047-01-01 09:00:00,0.15,-17.158478902950254
2047-01-01 09:30:00,0.15,-17.936665485197768
2047-01-01 10:00:00,0.15,-18.115265704382384
2047-01-01 10:30:00,0.15,-18.74869425356577
2047-01-01 11:00:00,-0.22,-19.05998249744025
2047-01-01 11:30:00,-0.22,-19.00956006141675
2047-01-01 12:00:00,-0.22,-19.504424118441907
2047-01-01 12:30:00,-0.22,-19.64632002643249
2047-01-01 13:00:00,-0.22,-19.966891179380173
2047-01-01 13:30:00,-0.22,-20.199220696648204
2047-01-01 14:00:00,-0.22,-20.13267694550141
2047-01-01 14:30:00,-0.22,-20.39754265453336
2047-01-01 15:00:00,-0.22,-20.255222389861434
2047-01-01 15:30:00,-0.22,-20.63643804175409
2047-01-01 16:00:00,-0.22,-19.15737693521502
2047-01-01 16:30:00,-0.22,-17.76981039271099
2047-01-01 17:00:00,-0.22,-15.964425191845685
2047-01-01 17:30:00,0.15,-13.48974116476607
2047-01-01 18:00:00,-0.22,-9.439727843427795
2047-01-01 18:30:00,-0.22,-7.6452746489482655
2047-01-01 19:00:00,-0.22,-5.662126228023139
2047-01-01 19:30:00,-0.22,-4.407481910526771
2047-01-01 20:00:00,-0.22,-2.8664895649776736
2047-01-01 20:30:00,-0.22,-3.6596884521206268
2047-01-01 21:00:00,-0.22,-3.9943403418664176
2047-01-01 21:30:00,-0.22,-3.888523940156283
2047-01-01 22:00:00,-0.22,-3.8014140288292912
2047-01-01 22:30:00,-0.22,-4.044381888278261
2047-01-01 23:00:00,-0.22,-3.315877121774404
2047-01-01 23:30:00,-0.22,-3.404229329527794
2047-01-02 00:00:00,-0.22,-3.3610519703300836
2047-01-02 00:30:00,-0.22,-2.773403662426592
2047-01-02 01:00:00,-0.22,-2.640236810467004
2047-01-02 01:30:00,-0.22,-1.7583211367194636
2047-01-02 02:00:00,-0.22,-1.9984606701909013
2047-01-02 02:30:00,-0.22,-1.7303475597503903
2047-01-02 03:00:00,-0.22,-1.185216198189095
2047-01-02 03:30:00,-0.22,-1.1966651698692583
2047-01-02 04:00:00,-0.22,-0.8390660825830846
2047-01-02 04:30:00,-0.22,-0.4321453176641271
2047-01-02 05:00:00,0.0,0.051967075774676234
2047-01-02 05:30:00,-0.02536323497400006,-0.6253632349737546
2047-01-02 06:00:00,-0.22,-2.091360156878708
2047-01-02 06:30:00,-0.22,-3.363673951562469
2047-01-02 07:00:00,-0.22,-7.352012548692364
2047-01-02 07:30:00,0.15,-8.216987798414513
2047-01-02 08:00:00,0.15,-8.40697175476397
2047-01-02 08:30:00,0.15,-9.609400416683068
2047-01-02 09:00:00,0.15,-10.736138833061615
2047-01-02 09:30:00,0.15,-12.535268377654335
2047-01-02 10:00:00,0.15,-12.260470247273556
2047-01-02 10:30:00,0.15,-12.511340653499817
2047-01-02 11:00:00,0.15,-11.210597684599476
2047-01-02 11:30:00,0.15,-10.935342085083112
2047-01-02 12:00:00,0.15,-10.97674602439435
2047-01-02 12:30:00,0.15,-10.992552762203271
2047-01-02 13:00:00,0.15,-10.638691841212598
2047-01-02 13:30:00,0.15,-11.640436583474436
2047-01-02 14:00:00,0.15,-10.755587024222613
2047-01-02 14:30:00,0.15,-11.11199389395081
2047-01-02 15:00:00,0.15,-10.020107632211845
2047-01-02 15:30:00,0.15,-9.693247881234798
2047-01-02 16:00:00,0.15,-7.9327198293096695
2047-01-02 16:30:00,0.15,-5.975268213041006
2047-01-02 17:00:00,-0.22,-3.8273420343164304
2047-01-02 17:30:00,-0.22,-1.2993267991096291
2047-01-02 18:00:00,0.0,0.5947928466658768
2047-01-02 18:30:00,0.0,2.504687696961053
2047-01-02 19:00:00,0.0,4.466773457626818
2047-01-02 19:30:00,0.0,5.00773937753773
2047-01-02 20:00:00,0.0,5.428381118068685
2047-01-02 20:30:00,0.0,5.349190617370292
2047-01-02 21:00:00,0.0,5.270018390693993
2047-01-02 21:30:00,0.0,5.209395370876755
2047-01-02 22:00:00,0.0,5.478385006445242
2047-01-02 22:30:00,0.0,5.556817808373544
