C,SETP.WORLD,TER_DAILY,AEMO,PUBLIC,31/08/2025,8:00:03,478606673,,478606673,,,,,
I,EMSLIMITS,LIM_ALTLIM,1,SITE ID,EQUIPMENT TYPE,EQUIPMENT ID,REGION ID,RATING LEVEL,ALTERNATE VALUE ID,RATING,RATING TYPE,SPD ID,EFFECTIVE FROM,EFFECTIVE TO
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,965,NSW1,LDSH,N_AUT/SPR_D,138,STATIC,NRAT15_ARKS965,18/08/2011 12:35,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,965,NSW1,LDSH,N_AUT/SPR_N,150,STATIC,NRAT15_ARKS965,18/08/2011 12:35,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,965,NSW1,LDSH,N_SUM_D,135,STATIC,NRAT15_ARKS965,18/08/2011 12:35,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,965,NSW1,LDSH,N_SUM_N,142,STATIC,NRAT15_ARKS965,18/08/2011 12:35,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,965,NSW1,LDSH,N_WIN_D,139,STATIC,NRAT15_ARKS965,18/08/2011 12:35,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,965,NSW1,LDSH,N_WIN_N,152,STATIC,NRAT15_ARKS965,18/08/2011 12:35,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,86,NSW1,EMER,N_AUTSPR_D_D,1035,DYNAMIC,NRAT15_ARTW86,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,86,NSW1,EMER,N_AUTSPR_N_D,1040,DYNAMIC,NRAT15_ARTW86,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,86,NSW1,EMER,N_SUM_D_D,989,DYNAMIC,NRAT15_ARTW86,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,86,NSW1,EMER,N_SUM_N_D,1017,DYNAMIC,NRAT15_ARTW86,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,86,NSW1,EMER,N_WIN_D_D,1063,DYNAMIC,NRAT15_ARTW86,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,86,NSW1,EMER,N_WIN_N_D,1063,DYNAMIC,NRAT15_ARTW86,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,8U,NSW1,EMER,N_AUTSPR_D_D,1029,DYNAMIC,NRAT15_ARUL8U,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,8U,NSW1,EMER,N_AUTSPR_N_D,1071,DYNAMIC,NRAT15_ARUL8U,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,8U,NSW1,EMER,N_SUM_D_D,983,DYNAMIC,NRAT15_ARUL8U,8/05/2025 18:25,31/12/9999 0:00
D,EMSLIMITS,LIM_ALTLIM,1,ARMIDALE,LINE,8U,NSW1,EMER,N_SUM_N_D,1040,DYNAMIC,NRAT15_ARUL8U,8/05/2025 18:25,31/12/9999 0:00
