Problems,GLPK,CPLEX,Gurobi,Mosek,PuLP CBC,COIN CLP,SCIP,HiGHS,COPT
bab6.mps,,,,,,Not Solved,,,
beasleyC3.mps,,,,,,0.09747433662414551,,,
binkar10_1.mps,,,,,,76.94933009147644,,,
blp-ar98.mps,,,,,,3683.437558889389,,,
blp-ic98.mps,,,,,,3759.779581308365,,,
bnatt400.mps,,,,,,Not Solved,,,
bnatt500.mps,,,,,,Not Solved,,,
bppc4-08.mps,,,,,,3601.4181225299835,,,
brazil3.mps,,,,,,3577.3344609737396,,,
buildingenergy.mps,,,,,,,,,
cbs-cta.mps,,,,,,13.863705158233643,,,
chromaticindex1024-7.mps,,,,,,,,,
chromaticindex512-7.mps,,,,,,3595.7287323474884,,,
cmflsp50-24-8-8.mps,,,,,,,,,
CMS750_4.mps,,,,,,,,,
