Problems,GLPK,CPLEX,Gurobi,Mosek,PuLP CBC,COIN,SCIP,HiGHS,COPT
30n20b8.mps,,,,,,,,,4.039825439453125
50v-10.mps,,,,,,,,,807.0933227539062
academictimetablesmall.mps,,,,,,,,,3430.9884305000305
air05.mps,,,,,,,,,7.232788324356079
app1-1.mps,,,,,,,,,4.228280544281006
app1-2.mps,,,,,,,,,102.16817569732666
assign1-5-8.mps,,,,,,,,,3604.1736767292023
atlanta-ip.mps,,,,,,,,,295.36306715011597
b1c1s1.mps,,,,,,,,,1550.3191974163055
bab2.mps,,,,,,,,,3612.3768446445465
bab6.mps,,,,,,,,,3610.5386233329773
beasleyC3.mps,,,,,,,,,0.47918200492858887
binkar10_1.mps,,,,,,,,,2.412816286087036
blp-ar98.mps,,,,,,,,,211.0528495311737
blp-ic98.mps,,,,,,,,,110.16053056716919
bnatt400.mps,,,,,,,,,2.983278512954712
bnatt500.mps,,,,,,,,,Not Solved
bppc4-08.mps,,,,,,,,,3600.6221103668213
brazil3.mps,,,,,,,,,355.9735999107361
buildingenergy.mps,,,,,,,,,
cbs-cta.mps,,,,,,,,,1.6716110706329346
chromaticindex1024-7.mps,,,,,,,,,
chromaticindex512-7.mps,,,,,,,,,
cmflsp50-24-8-8.mps,,,,,,,,,
CMS750_4.mps,,,,,,,,,
