Problems,GLPK,CPLEX,Gurobi,Mosek,PuLP CBC,COIN,SCIP,HiGHS,COPT
30n20b8.mps,,,3.0211360454559326,,,,,,
50v-10.mps,,,207.78675842285156,,,,,,
academictimetablesmall.mps,,,225.58983969688416,,,,,,
air05.mps,,,2.5481839179992676,,,,,,
app1-1.mps,,,0.8029308319091797,,,,,,
app1-2.mps,,,79.1905164718628,,,,,,
assign1-5-8.mps,,,100.80806922912598,,,,,,
atlanta-ip.mps,,,358.68336963653564,,,,,,
b1c1s1.mps,,,355.80637884140015,,,,,,
bab2.mps,,,3614.035178422928,,,,,,
bab6.mps,,,491.3807966709137,,,,,,
beasleyC3.mps,,,0.09590268135070801,,,,,,
binkar10_1.mps,,,1.7322235107421875,,,,,,
blp-ar98.mps,,,54.985771894454956,,,,,,
blp-ic98.mps,,,22.74237060546875,,,,,,
bnatt400.mps,,,297.63041830062866,,,,,,
bnatt500.mps,,,Not Solved,,,,,,
bppc4-08.mps,,,3600.275643348694,,,,,,
brazil3.mps,,,286.4967043399811,,,,,,
buildingenergy.mps,,,,,,,,,
cbs-cta.mps,,,0.8507101535797119,,,,,,
chromaticindex1024-7.mps,,,155.32182335853577,,,,,,
chromaticindex512-7.mps,,,46.184900999069214,,,,,,
cmflsp50-24-8-8.mps,,,500.7577691078186,,,,,,
CMS750_4.mps,,,2.0195577144622803,,,,,,
co-100.mps,,,332.3554208278656,,,,,,
cod105.mps,,,32.26766896247864,,,,,,
comp07-2idx.mps,,,15.473145723342896,,,,,,
comp21-2idx.mps,,,1249.2462484836578,,,,,,
cost266-UUE.mps,,,643.5344140529633,,,,,,
cryptanalysiskb128n5obj14.mps,,,Not Solved,,,,,,
cryptanalysiskb128n5obj16.mps,,,2745.611263036728,,,,,,
csched007.mps,,,124.932852268219,,,,,,
csched008.mps,,,24.690160512924194,,,,,,
cvs16r128-89.mps,,,3601.139131784439,,,,,,
dano3_3.mps,,,12.312734603881836,,,,,,
dano3_5.mps,,,34.39820384979248,,,,,,
decomp2.mps,,,0.45606255531311035,,,,,,
drayage-100-23.mps,,,0.33022260665893555,,,,,,
drayage-25-23.mps,,,1.1179556846618652,,,,,,
dws008-01.mps,,,864.6578040122986,,,,,,
eil33-2.mps,,,1.4130456447601318,,,,,,
eilA101-2.mps,,,1436.4515645503998,,,,,,
enlight_hard.mps,,,0.06763815879821777,,,,,,
ex10.mps,,,,,,,,,
ex9.mps,,,5.0506532192230225,,,,,,
exp-1-500-5-5.mps,,,1.8420004844665527,,,,,,
fast0507.mps,,,48.79873728752136,,,,,,
fastxgemm-n2r6s0t2.mps,,,13.366873979568481,,,,,,
fhnw-binpack4-4.mps,,,Not Solved,,,,,,
