Problems,GLPK,CPLEX,Gurobi,Mosek,PuLP CBC,COIN CLP,SCIP,HiGHS,COPT
bab2.mps,,,,,Not Solved,,,,
bab6.mps,,,,,3602.214718580246,,,,
beasleyC3.mps,,,,,0.09421324729919434,,,,
binkar10_1.mps,,,,,50.73568916320801,,,,
blp-ar98.mps,,,,,3682.9662504196167,,,,
blp-ic98.mps,,,,,3718.1965239048004,,,,
bnatt400.mps,,,,,Not Solved,,,,
bnatt500.mps,,,,,Not Solved,,,,
bppc4-08.mps,,,,,3600.2999365329742,,,,
brazil3.mps,,,,,Not Solved,,,,
buildingenergy.mps,,,,,,,,,
cbs-cta.mps,,,,,13.396282196044922,,,,
chromaticindex1024-7.mps,,,,,,,,,
chromaticindex512-7.mps,,,,,3595.7577843666077,,,,
cmflsp50-24-8-8.mps,,,,,3602.153146982193,,,,
CMS750_4.mps,,,,,3601.2630791664124,,,,
