Problems,GLPK,CPLEX,Gurobi,Mosek,PuLP CBC,COIN CLP,SCIP,HiGHS,COPT
bab6.mps,,,,,,,3603.8770587444305,,
beasleyC3.mps,,,,,,,0.049904823303222656,,
binkar10_1.mps,,,,,,,43.675185203552246,,
blp-ar98.mps,,,,,,,3600.5422627925873,,
blp-ic98.mps,,,,,,,3599.90967464447,,
bnatt400.mps,,,,,,,149.90605688095093,,
bnatt500.mps,,,,,,,Not Solved,,
bppc4-08.mps,,,,,,,2648.463196992874,,
brazil3.mps,,,,,,,3600.07195687294,,
buildingenergy.mps,,,,,,,,,
cbs-cta.mps,,,,,,,21.55700969696045,,
chromaticindex1024-7.mps,,,,,,,3601.691203355789,,
chromaticindex512-7.mps,,,,,,,1390.71160531044,,
cmflsp50-24-8-8.mps,,,,,,,3599.5074231624603,,
CMS750_4.mps,,,,,,,119.92931270599365,,
